IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.203.143.117,2082,80,false,MXP,Europe,Milan,150,2.82
20.170.41.153,443,443,true,FRA,Europe,Frankfurt,159,2.50
52.187.35.233,80,0,false,SIN,Asia Pacific,Singapore,2,0.96
104.208.64.116,80,0,false,HKG,Asia Pacific,Hong Kong,33,0.26
51.11.142.112,80,0,false,LHR,Europe,London,155,0.18
104.208.71.2,80,0,false,HKG,Asia Pacific,Hong Kong,35,0.14
20.157.221.56,80,80,false,AMS,Europe,Amsterdam,192,0.12
13.70.40.22,80,0,false,HKG,Asia Pacific,Hong Kong,33,0.09
4.180.165.171,8080,80,false,AMS,Europe,Amsterdam,157,0.08
20.102.24.191,80,0,false,IAD,North America,Ashburn,226,0.06
20.2.87.94,443,0,false,HKG,Asia Pacific,Hong Kong,35,0.06
40.115.253.187,80,0,false,LAX,North America,Los Angeles,68,0.06
20.2.87.94,80,0,false,HKG,Asia Pacific,Hong Kong,33,0.06
40.115.253.187,8080,0,false,LAX,North America,Los Angeles,68,0.05
52.184.217.63,80,0,false,IAD,North America,Ashburn,219,0.03
20.86.52.80,80,0,false,AMS,Europe,Amsterdam,160,0.03
172.162.242.200,80,0,false,FRA,Europe,Frankfurt,150,0.03
51.143.162.160,80,80,false,LHR,Europe,London,155,0.03
20.37.207.8,8080,80,false,SYD,Oceania,Sydney,101,0.02
20.81.104.97,80,443,false,IAD,North America,Ashburn,224,0.02
20.247.228.80,80,80,false,SIN,Asia Pacific,Singapore,2,0.01
40.83.203.12,80,0,false,SJC,North America,San Jose,170,0.01
74.226.216.102,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
20.78.2.61,80,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.89.149.18,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
20.18.32.188,80,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.18.32.188,8080,0,false,NRT,Asia Pacific,Tokyo,67,0.00
20.243.248.205,80,0,false,NRT,Asia Pacific,Tokyo,69,0.00
20.18.32.188,443,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.118.131.247,80,0,false,LAX,North America,Los Angeles,172,0.00
20.230.159.201,80,0,false,SEA,North America,Seattle,161,0.00
20.55.38.130,80,0,false,IAD,North America,Ashburn,226,0.00
20.172.220.126,80,0,false,IAD,North America,Ashburn,229,0.00
20.121.139.153,80,0,false,IAD,North America,Ashburn,230,0.00
4.227.245.157,8080,0,false,IAD,North America,Ashburn,226,0.00
4.227.214.97,80,0,false,IAD,North America,Ashburn,226,0.00
20.230.56.138,80,0,false,IAD,North America,Ashburn,221,0.00
40.87.80.77,80,0,false,IAD,North America,Ashburn,226,0.00
172.188.16.197,80,0,false,SIN,Asia Pacific,Singapore,14,0.00
52.245.249.122,80,0,false,IAD,North America,Ashburn,225,0.00
20.222.251.148,80,0,false,LAX,North America,Los Angeles,68,0.00
20.2.219.45,80,0,false,HKG,Asia Pacific,Hong Kong,33,0.00
20.193.145.135,80,0,false,BOM,Asia Pacific,Mumbai,51,0.00
20.40.103.32,80,0,false,LAX,North America,Los Angeles,67,0.00
20.46.125.42,80,0,false,LAX,North America,Los Angeles,81,0.00
20.174.63.68,2053,0,true,BOM,Asia Pacific,Mumbai,82,0.00
20.213.13.247,80,0,false,SYD,Oceania,Sydney,92,0.00
20.203.143.114,2086,80,false,MXP,Europe,Milan,149,0.00
20.203.143.112,2086,0,false,MXP,Europe,Milan,150,0.00
51.107.6.128,8443,443,true,MXP,Europe,Milan,151,0.00
40.66.63.160,80,80,false,CDG,Europe,Paris,152,0.00
51.116.109.243,80,0,false,FRA,Europe,Frankfurt,153,0.00
172.167.242.53,80,0,false,LHR,Europe,London,155,0.00
4.158.98.52,8080,80,false,LHR,Europe,London,156,0.00
52.236.148.143,80,0,false,AMS,Europe,Amsterdam,157,0.00
108.142.152.44,80,0,false,AMS,Europe,Amsterdam,158,0.00
13.66.189.79,80,0,false,SEA,North America,Seattle,161,0.00
20.157.97.104,80,80,false,AMS,Europe,Amsterdam,165,0.00
137.116.251.154,80,443,false,DUB,Europe,Dublin,166,0.00
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,173,0.00
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,173,0.00
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.177,2096,0,false,CPH,Europe,Copenhagen,174,0.00
40.112.148.202,8443,443,true,SJC,North America,San Jose,176,0.00
51.12.208.66,80,80,false,ARN,Europe,Stockholm,178,0.00
20.240.193.124,8443,0,true,ARN,Europe,Stockholm,178,0.00
20.157.120.71,80,0,false,LHR,Europe,London,178,0.00
20.240.193.124,2053,443,true,ARN,Europe,Stockholm,179,0.00
20.240.40.44,80,0,false,CPH,Europe,Copenhagen,179,0.00
